,id,expression,emotion,score
0,10000,how the fu*k! who the heck! moved my fridge!... should i knock the landlord door. angry mad ,anger,0.938
1,10001,so my indian uber driver just called someone the n word. if i wasn't in a moving vehicle i'd have jumped out disgusted ,anger,0.8959999999999999
2,10002,<subject> i asked for my parcel to be delivered to a pick up store not my address fuming poorcustomerservice,anger,0.8959999999999999
3,10003,so ef whichever butt wipe pulled the fire alarm in davis bc i was sound asleep pissed angry upset tired sad tired hangry ,anger,0.8959999999999999
4,10004,"don't join <subject> they put the phone down on you, talk over you and are rude. taking money out of my acc willynilly! fuming",anger,0.8959999999999999
5,10005,my blood is boiling,anger,0.875
6,10006,when you've still got a whole season of wentworth to watch and a stupid cunt in work ruins it for us 😭😭 <subject> raging oldcunt,anger,0.875
7,10007,"<subject> why does tracking show my equipment delivered, when it wasn't? why is my service suddenly delayed? we've already 3 weeks. fuming",anger,0.875
8,10008,"<subject> legit why i am so furious with him, people are such fucking idiots.",anger,0.875
9,10009,how is it suppose to work if you do that? wtf dude? thanks for pissing me off. ,anger,0.875
10,10010,im so mad about power rangers. im incensed. im furious.,anger,0.667
11,10011,wont use using <subject> <subject> again!! these guys cant get nothing right!! fuming,anger,0.8540000000000001
12,10012,bitches aggravate like what inspires you to be the biggest cunt known to man kind?,anger,0.8540000000000001
13,10013,"why does <subject> have to come to glasgow on a night i am working. i am fucking gutted, been waiting for an appearance for ages raging",anger,0.938
14,10014,fuking fuming 😤,anger,0.8540000000000001
15,10015,zero help from <subject> customer service. just pushing the buck back and forth and promising callbacks that don’t happen. anger loathing,anger,0.8540000000000001
16,10016,<subject> not to mention the gra guy stops me but let's the 2 ppl in front of me go. wtf. my blood is boiling.,anger,0.8540000000000001
17,10017,"i hate my lawn mower. if it had a soul, i'd condemn it to the fiery pits of hell.",anger,0.833
18,10018,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger,0.833
19,10019,i'm about to block everyone everywhere posting about the storm. i think everyone is aware of the damn rain and what not so quit. damn ,anger,0.812
20,10020,making my buddy cry !! bitch wait for revenge 🤗👌🏻,anger,0.812
21,10021,bes! you don't just tell a true blooded hoopjunkie to switch a f*c<subject>' team that juz destroyed your own team. you juz don't! insult,anger,0.8909999999999999
22,10022,i got a no response again from an irate customer of amazon 😞😞\nwhy can't they understand that it's not always amazon fault..\ncarrierfault,anger,0.812
23,10023,"tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! this is really sick! rage wtf  murder",anger,0.812
24,10024,"<subject> <subject> <subject> the way my blood is boiling, little bastards!",anger,0.792
25,10025,actually fuming i have nothing to wear saturday,anger,0.792
26,10026,.<subject> than straight people. even the arse straight guys who think that means a threesome is fine. angry fuming,anger,0.792
27,10027,bloody parking ticket 😒💸 fuming,anger,0.792
28,10028,you ever just find that the people around you really irritate you sometimes? that's me right now 😒,anger,0.792
29,10029,i get so angry at people that don't know that you don't have a stop sign on francis and you do at foster road ,anger,0.792
30,10030,"this fuck you is boiling up inside, its not gonna be good when i let it out.",anger,0.792
