,Emoji,Unicode codepoint,Occurrences,Position,Negative,Neutral,Positive,Unicode name,Unicode block,V,A,System
0,😂,0x1f602,14622,0.805100583,3614,4163,6845,FACE WITH TEARS OF JOY,Emoticons,0.8516666666666667,0.79,Android
1,😂,0x1f602,14622,0.805100583,3614,4163,6845,FACE WITH TEARS OF JOY,Emoticons,0.8116666666666666,0.8516666666666667,iOS
2,😍,0x1f60d,6359,0.765292366,329,1390,4640,SMILING FACE WITH HEART-SHAPED EYES,Emoticons,0.9049999999999999,0.805,Android
3,😍,0x1f60d,6359,0.765292366,329,1390,4640,SMILING FACE WITH HEART-SHAPED EYES,Emoticons,0.9266666666666666,0.8566666666666666,iOS
4,😭,0x1f62d,5526,0.803351976,2412,1218,1896,LOUDLY CRYING FACE,Emoticons,0.06833333333333332,0.8416666666666667,Android
5,😭,0x1f62d,5526,0.803351976,2412,1218,1896,LOUDLY CRYING FACE,Emoticons,0.17166666666666663,0.855,iOS
6,😘,0x1f618,3648,0.854480172,193,702,2753,FACE THROWING A KISS,Emoticons,0.8583333333333334,0.6633333333333334,Android
7,😘,0x1f618,3648,0.854480172,193,702,2753,FACE THROWING A KISS,Emoticons,0.8849999999999999,0.7216666666666667,iOS
8,😊,0x1f60a,3186,0.813302436,189,754,2243,SMILING FACE WITH SMILING EYES,Emoticons,0.8616666666666667,0.5766666666666667,Android
9,😊,0x1f60a,3186,0.813302436,189,754,2243,SMILING FACE WITH SMILING EYES,Emoticons,0.8816666666666667,0.6133333333333333,iOS
10,😁,0x1f601,2189,0.796151187,278,648,1263,GRINNING FACE WITH SMILING EYES,Emoticons,0.8683333333333333,0.7183333333333333,Android
11,😁,0x1f601,2189,0.796151187,278,648,1263,GRINNING FACE WITH SMILING EYES,Emoticons,0.5299999999999999,0.715,iOS
12,😩,0x1f629,1808,0.826213985,1069,336,403,WEARY FACE,Emoticons,0.17499999999999996,0.6333333333333333,Android
13,😩,0x1f629,1808,0.826213985,1069,336,403,WEARY FACE,Emoticons,0.215,0.6666666666666666,iOS
14,😏,0x1f60f,1522,0.764977294,170,676,676,SMIRKING FACE,Emoticons,0.6133333333333333,0.5333333333333333,Android
15,😏,0x1f60f,1522,0.764977294,170,676,676,SMIRKING FACE,Emoticons,0.6383333333333333,0.565,iOS
16,😉,0x1f609,1521,0.8448326509999999,151,513,857,WINKING FACE,Emoticons,0.7683333333333334,0.5083333333333333,Android
17,😉,0x1f609,1521,0.8448326509999999,151,513,857,WINKING FACE,Emoticons,0.7816666666666667,0.6,iOS
